index,audio,annotation,txt,targets,num_events
0,soundscape_00000/soundscape_00000.wav,soundscape_00000/soundscape_00000.jams,soundscape_00000/soundscape_00000.txt,soundscape_00000/soundscape_00000_targets.json,10
1,soundscape_00001/soundscape_00001.wav,soundscape_00001/soundscape_00001.jams,soundscape_00001/soundscape_00001.txt,soundscape_00001/soundscape_00001_targets.json,7
2,soundscape_00002/soundscape_00002.wav,soundscape_00002/soundscape_00002.jams,soundscape_00002/soundscape_00002.txt,soundscape_00002/soundscape_00002_targets.json,10
3,soundscape_00003/soundscape_00003.wav,soundscape_00003/soundscape_00003.jams,soundscape_00003/soundscape_00003.txt,soundscape_00003/soundscape_00003_targets.json,9
4,soundscape_00004/soundscape_00004.wav,soundscape_00004/soundscape_00004.jams,soundscape_00004/soundscape_00004.txt,soundscape_00004/soundscape_00004_targets.json,9
5,soundscape_00005/soundscape_00005.wav,soundscape_00005/soundscape_00005.jams,soundscape_00005/soundscape_00005.txt,soundscape_00005/soundscape_00005_targets.json,9
6,soundscape_00006/soundscape_00006.wav,soundscape_00006/soundscape_00006.jams,soundscape_00006/soundscape_00006.txt,soundscape_00006/soundscape_00006_targets.json,7
7,soundscape_00007/soundscape_00007.wav,soundscape_00007/soundscape_00007.jams,soundscape_00007/soundscape_00007.txt,soundscape_00007/soundscape_00007_targets.json,10
8,soundscape_00008/soundscape_00008.wav,soundscape_00008/soundscape_00008.jams,soundscape_00008/soundscape_00008.txt,soundscape_00008/soundscape_00008_targets.json,9
9,soundscape_00009/soundscape_00009.wav,soundscape_00009/soundscape_00009.jams,soundscape_00009/soundscape_00009.txt,soundscape_00009/soundscape_00009_targets.json,7
10,soundscape_00010/soundscape_00010.wav,soundscape_00010/soundscape_00010.jams,soundscape_00010/soundscape_00010.txt,soundscape_00010/soundscape_00010_targets.json,9
11,soundscape_00011/soundscape_00011.wav,soundscape_00011/soundscape_00011.jams,soundscape_00011/soundscape_00011.txt,soundscape_00011/soundscape_00011_targets.json,5
